metric,unit,model,phase,category,value,source_type,evidence,status,notes
Attention: heads / head dim / Key-Value heads,counts,Nano-MoE-Jax,Prefill,config,4 / 32 / 4,config,"n_heads, d_model",mismatch,sheet_value=8 / 16 / 8; sheet_source=assumed (golden-ref); config_source=Nano-MoE-JAX public default config
Attention: heads / head dim / Key-Value heads,counts,Nano-MoE-Jax,Decode,config,4 / 32 / 4,config,"n_heads, d_model",mismatch,sheet_value=8 / 16 / 8; sheet_source=assumed (golden-ref); config_source=Nano-MoE-JAX public default config
Attention: heads / head dim / Key-Value heads,counts,OLMoE-1B-7B,Prefill,config,16 / 128 / 16,config,"num_attention_heads, hidden_size, num_key_value_heads",mismatch,sheet_value=16 / 128 / 8 (GQA); sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Attention: heads / head dim / Key-Value heads,counts,OLMoE-1B-7B,Decode,config,16 / 128 / 16,config,"num_attention_heads, hidden_size, num_key_value_heads",mismatch,sheet_value=16 / 128 / 8 (GQA); sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Attention: heads / head dim / Key-Value heads,counts,Deepseek-V3,Prefill,config,"128 / qk=192 (nope=128+rope=64), v=128 / MLA kv_lora=512",config,"num_attention_heads, qk_nope_head_dim, qk_rope_head_dim, v_head_dim, kv_lora_rank",mismatch,sheet_value=128 / 128 / MLA kv_lora=512; sheet_source=DeepSeek-V3 report; config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Attention: heads / head dim / Key-Value heads,counts,Deepseek-V3,Decode,config,"128 / qk=192 (nope=128+rope=64), v=128 / MLA kv_lora=512",config,"num_attention_heads, qk_nope_head_dim, qk_rope_head_dim, v_head_dim, kv_lora_rank",mismatch,sheet_value=128 / 128 / MLA kv_lora=512; sheet_source=DeepSeek-V3 report; config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Total experts,count,Nano-MoE-Jax,Prefill,config,4,config,n_experts,mismatch,sheet_value=8; sheet_source=assumed (golden-ref); config_source=Nano-MoE-JAX public default config
Total experts,count,Nano-MoE-Jax,Decode,config,4,config,n_experts,mismatch,sheet_value=8; sheet_source=assumed (golden-ref); config_source=Nano-MoE-JAX public default config
Total experts,count,OLMoE-1B-7B,Prefill,config,64,config,num_experts,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Total experts,count,OLMoE-1B-7B,Decode,config,64,config,num_experts,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Total experts,count,Deepseek-V3,Prefill,config,256,config,n_routed_experts,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Total experts,count,Deepseek-V3,Decode,config,256,config,n_routed_experts,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Experts active per token (top-k),count,Nano-MoE-Jax,Prefill,config,2,config,top_k,match,config_source=Nano-MoE-JAX public default config
Experts active per token (top-k),count,Nano-MoE-Jax,Decode,config,2,config,top_k,match,config_source=Nano-MoE-JAX public default config
Experts active per token (top-k),count,OLMoE-1B-7B,Prefill,config,8,config,num_experts_per_tok,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Experts active per token (top-k),count,OLMoE-1B-7B,Decode,config,8,config,num_experts_per_tok,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Experts active per token (top-k),count,Deepseek-V3,Prefill,config,8,config,num_experts_per_tok,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Experts active per token (top-k),count,Deepseek-V3,Decode,config,8,config,num_experts_per_tok,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Shared experts,count,Nano-MoE-Jax,Prefill,config,0,config,n_shared_experts default 0,match,config_source=Nano-MoE-JAX public default config
Shared experts,count,Nano-MoE-Jax,Decode,config,0,config,n_shared_experts default 0,match,config_source=Nano-MoE-JAX public default config
Shared experts,count,OLMoE-1B-7B,Prefill,config,0,config,n_shared_experts default 0,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Shared experts,count,OLMoE-1B-7B,Decode,config,0,config,n_shared_experts default 0,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Shared experts,count,Deepseek-V3,Prefill,config,1,config,n_shared_experts default 0,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Shared experts,count,Deepseek-V3,Decode,config,1,config,n_shared_experts default 0,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Expert feedforward dimension,dim,Nano-MoE-Jax,Prefill,config,512,config,d_ff,mismatch,sheet_value=160; sheet_source=assumed (golden-ref); config_source=Nano-MoE-JAX public default config
Expert feedforward dimension,dim,Nano-MoE-Jax,Decode,config,512,config,d_ff,mismatch,sheet_value=160; sheet_source=assumed (golden-ref); config_source=Nano-MoE-JAX public default config
Expert feedforward dimension,dim,OLMoE-1B-7B,Prefill,config,1024,config,intermediate_size,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Expert feedforward dimension,dim,OLMoE-1B-7B,Decode,config,1024,config,intermediate_size,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Expert feedforward dimension,dim,Deepseek-V3,Prefill,config,2048,config,moe_intermediate_size,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Expert feedforward dimension,dim,Deepseek-V3,Decode,config,2048,config,moe_intermediate_size,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Router / gating type,text,Nano-MoE-Jax,Prefill,config,softmax top-2,config,top_k + Nano-MoE-JAX router implementation,mismatch,"sheet_value=Softmax top-2, no aux loss; sheet_source=assumed (golden-ref); config_source=Nano-MoE-JAX public default config"
Router / gating type,text,Nano-MoE-Jax,Decode,config,softmax top-2,config,top_k + Nano-MoE-JAX router implementation,mismatch,"sheet_value=Softmax top-2, no aux loss; sheet_source=assumed (golden-ref); config_source=Nano-MoE-JAX public default config"
Router / gating type,text,OLMoE-1B-7B,Prefill,config,"softmax top-8, aux_loss_coef=0.01, norm_topk_prob=False",config,"num_experts_per_tok, router_aux_loss_coef, norm_topk_prob",mismatch,sheet_value=Softmax top-8 + z-loss regulariser; sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Router / gating type,text,OLMoE-1B-7B,Decode,config,"softmax top-8, aux_loss_coef=0.01, norm_topk_prob=False",config,"num_experts_per_tok, router_aux_loss_coef, norm_topk_prob",mismatch,sheet_value=Softmax top-8 + z-loss regulariser; sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Router / gating type,text,Deepseek-V3,Prefill,config,"sigmoid top-8, topk_method=noaux_tc, norm_topk_prob=True, shared_experts=1",config,"scoring_func, topk_method, norm_topk_prob, n_shared_experts",mismatch,sheet_value=Top-8 routed + 1 shared; complementary seq-wise aux-free load balancing; sheet_source=DeepSeek-V3 report; config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Router / gating type,text,Deepseek-V3,Decode,config,"sigmoid top-8, topk_method=noaux_tc, norm_topk_prob=True, shared_experts=1",config,"scoring_func, topk_method, norm_topk_prob, n_shared_experts",mismatch,sheet_value=Top-8 routed + 1 shared; complementary seq-wise aux-free load balancing; sheet_source=DeepSeek-V3 report; config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Multiply-accumulate ops per token,MACs/token,Nano-MoE-Jax,Prefill,formula,2525184,computed_from_config,MACs/token = sum of per-token matmul components using sheet operating point,mismatch,"sheet_value=1155072; sheet_source=computed; config_source=Nano-MoE-JAX public default config; B=1, S=128, KV=512"
Multiply-accumulate ops per token,MACs/token,Nano-MoE-Jax,Decode,formula,2918400,computed_from_config,MACs/token = sum of per-token matmul components using sheet operating point,mismatch,"sheet_value=1548288; sheet_source=computed; config_source=Nano-MoE-JAX public default config; B=1, S=512, KV=512"
Multiply-accumulate ops per token,MACs/token,OLMoE-1B-7B,Prefill,formula,1212416000,computed_from_config,MACs/token = sum of per-token matmul components using sheet operating point,mismatch,"sheet_value=1245708288; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; B=32, S=512, KV=2048"
Multiply-accumulate ops per token,MACs/token,OLMoE-1B-7B,Decode,formula,1313079296,computed_from_config,MACs/token = sum of per-token matmul components using sheet operating point,mismatch,"sheet_value=1346371584; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; B=32, S=2048, KV=2048"
Multiply-accumulate ops per token,MACs/token,Deepseek-V3,Prefill,formula,39183122432,computed_from_config,MACs/token = sum of per-token matmul components using sheet operating point,mismatch,"sheet_value=49323966464; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; B=32, S=1024, KV=4096"
Multiply-accumulate ops per token,MACs/token,Deepseek-V3,Decode,formula,46858698752,computed_from_config,MACs/token = sum of per-token matmul components using sheet operating point,mismatch,"sheet_value=58534658048; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; B=32, S=4096, KV=4096"
Dominant operators (shapes + % of compute),text,Nano-MoE-Jax,Prefill,formula,expert_mlp_impl_all_experts 83.0%; attention_proj 10.4%; attention_qk_av 5.2%; lm_head 1.3%,computed_from_config,component MAC share from static matmul formulas,mismatch,"sheet_value=MoE gate+up(128,160)×2 ~68%; AttnQKV(128,128) ~27%; attn scores ~5%; sheet_source=computed; config_source=Nano-MoE-JAX public default config; B=1, S=128, KV=512"
Dominant operators (shapes + % of compute),text,Nano-MoE-Jax,Decode,formula,expert_mlp_impl_all_experts 71.9%; attention_qk_av 18.0%; attention_proj 9.0%; lm_head 1.1%,computed_from_config,component MAC share from static matmul formulas,mismatch,"sheet_value=MoE gate+up(128,160)×2 ~60%; AttnQKV ~25%; KV attn ctx ~15%; sheet_source=computed; config_source=Nano-MoE-JAX public default config; B=1, S=512, KV=512"
Dominant operators (shapes + % of compute),text,OLMoE-1B-7B,Prefill,formula,routed_expert_mlp_topk 66.4%; attention_proj 22.1%; lm_head 8.5%; attention_qk_av 2.8%,computed_from_config,component MAC share from static matmul formulas,mismatch,"sheet_value=MoE gate+up(2048,1024)×8 ~77%; AttnQKV(2048,2048) ~18%; router ~5%; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; B=32, S=512, KV=2048"
Dominant operators (shapes + % of compute),text,OLMoE-1B-7B,Decode,formula,routed_expert_mlp_topk 61.3%; attention_proj 20.4%; attention_qk_av 10.2%; lm_head 7.8%,computed_from_config,component MAC share from static matmul formulas,mismatch,"sheet_value=MoE gate+up(2048,1024)×8 ~73%; AttnQKV ~18%; KV attn ~9%; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; B=32, S=2048, KV=2048"
Dominant operators (shapes + % of compute),text,Deepseek-V3,Prefill,formula,routed_expert_mlp_topk 52.2%; attention_mla_proj 29.1%; attention_qk_av 6.5%; shared_expert_mlp 6.5%,computed_from_config,component MAC share from static matmul formulas,mismatch,"sheet_value=MoE gate+up(7168,2048)×9 experts ~66%; MLA proj(q_lora+kv_lora) ~30%; router ~4%; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; B=32, S=1024, KV=4096"
Dominant operators (shapes + % of compute),text,Deepseek-V3,Decode,formula,routed_expert_mlp_topk 43.6%; attention_mla_proj 24.4%; attention_qk_av 21.8%; shared_expert_mlp 5.5%,computed_from_config,component MAC share from static matmul formulas,mismatch,"sheet_value=MoE gate+up(7168,2048)×9 experts ~58%; MLA proj ~27%; KV attn (4096 ctx) ~15%; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; B=32, S=4096, KV=4096"
Arithmetic intensity,FLOPs/byte,Nano-MoE-Jax,Prefill,not_config_verifiable,0.2,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Arithmetic intensity,FLOPs/byte,Nano-MoE-Jax,Decode,not_config_verifiable,0.6,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Arithmetic intensity,FLOPs/byte,OLMoE-1B-7B,Prefill,not_config_verifiable,5.5,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Arithmetic intensity,FLOPs/byte,OLMoE-1B-7B,Decode,not_config_verifiable,13.7,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Arithmetic intensity,FLOPs/byte,Deepseek-V3,Prefill,not_config_verifiable,4.6,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Arithmetic intensity,FLOPs/byte,Deepseek-V3,Decode,not_config_verifiable,72.5,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=computed
Weight footprint (total),bytes,Nano-MoE-Jax,Prefill,formula,9773568,computed_from_config,total_parameter_count * weight_bytes,mismatch,sheet_value=9437184; sheet_source=computed; config_source=Nano-MoE-JAX public default config; weight_bytes=4
Weight footprint (total),bytes,Nano-MoE-Jax,Decode,formula,9773568,computed_from_config,total_parameter_count * weight_bytes,mismatch,sheet_value=9437184; sheet_source=computed; config_source=Nano-MoE-JAX public default config; weight_bytes=4
Weight footprint (total),bytes,OLMoE-1B-7B,Prefill,formula,27676123136,computed_from_config,total_parameter_count * weight_bytes,mismatch,sheet_value=13493731328; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; weight_bytes=4
Weight footprint (total),bytes,OLMoE-1B-7B,Decode,formula,27676123136,computed_from_config,total_parameter_count * weight_bytes,mismatch,sheet_value=13493731328; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; weight_bytes=4
Weight footprint (total),bytes,Deepseek-V3,Prefill,formula,671025404928,computed_from_config,total_parameter_count * weight_bytes,mismatch,sheet_value=6.69708E+11; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; weight_bytes=1
Weight footprint (total),bytes,Deepseek-V3,Decode,formula,671025404928,computed_from_config,total_parameter_count * weight_bytes,mismatch,sheet_value=6.69708E+11; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; weight_bytes=1
Weight footprint per layer,bytes,Nano-MoE-Jax,Prefill,formula,2361344,computed_from_config,decoder_layer_weight_params * weight_bytes; DeepSeek value is average over dense and MoE layers,match,config_source=Nano-MoE-JAX public default config; weight_bytes=4
Weight footprint per layer,bytes,Nano-MoE-Jax,Decode,formula,2361344,computed_from_config,decoder_layer_weight_params * weight_bytes; DeepSeek value is average over dense and MoE layers,match,config_source=Nano-MoE-JAX public default config; weight_bytes=4
Weight footprint per layer,bytes,OLMoE-1B-7B,Prefill,formula,1678245888,computed_from_config,decoder_layer_weight_params * weight_bytes; DeepSeek value is average over dense and MoE layers,mismatch,sheet_value=843358208; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; weight_bytes=4
Weight footprint per layer,bytes,OLMoE-1B-7B,Decode,formula,1678245888,computed_from_config,decoder_layer_weight_params * weight_bytes; DeepSeek value is average over dense and MoE layers,mismatch,sheet_value=843358208; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; weight_bytes=4
Weight footprint per layer,bytes,Deepseek-V3,Prefill,formula,10970033437,computed_from_config,decoder_layer_weight_params * weight_bytes; DeepSeek value is average over dense and MoE layers,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main; weight_bytes=1
Weight footprint per layer,bytes,Deepseek-V3,Decode,formula,10970033437,computed_from_config,decoder_layer_weight_params * weight_bytes; DeepSeek value is average over dense and MoE layers,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main; weight_bytes=1
Weight footprint per expert,bytes,Nano-MoE-Jax,Prefill,formula,524288,computed_from_config,expert_weight_params_per_expert * weight_bytes,mismatch,sheet_value=491520; sheet_source=computed; config_source=Nano-MoE-JAX public default config; weight_bytes=4
Weight footprint per expert,bytes,Nano-MoE-Jax,Decode,formula,524288,computed_from_config,expert_weight_params_per_expert * weight_bytes,mismatch,sheet_value=491520; sheet_source=computed; config_source=Nano-MoE-JAX public default config; weight_bytes=4
Weight footprint per expert,bytes,OLMoE-1B-7B,Prefill,formula,25165824,computed_from_config,expert_weight_params_per_expert * weight_bytes,mismatch,sheet_value=12582912; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; weight_bytes=4
Weight footprint per expert,bytes,OLMoE-1B-7B,Decode,formula,25165824,computed_from_config,expert_weight_params_per_expert * weight_bytes,mismatch,sheet_value=12582912; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; weight_bytes=4
Weight footprint per expert,bytes,Deepseek-V3,Prefill,formula,44040192,computed_from_config,expert_weight_params_per_expert * weight_bytes,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main; weight_bytes=1
Weight footprint per expert,bytes,Deepseek-V3,Decode,formula,44040192,computed_from_config,expert_weight_params_per_expert * weight_bytes,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main; weight_bytes=1
Activation footprint per layer,bytes,Nano-MoE-Jax,Prefill,formula,65536,computed_from_config,B * S_effective * H * activation_bytes; S_effective=S for prefill and 1 for decode,match,"config_source=Nano-MoE-JAX public default config; B=1, S=128, KV=512"
